playerA_hand,playerA_ht,playerA_ioc,playerB_hand,playerB_ht,playerB_ioc,playerA_total_aces,playerA_total_df,playerB_total_aces,playerB_total_df,playerA_is_head,playerB_is_head,ranking_diff,age_diff
R,183,ROU,R,175,USA,10,7,5,2,false,false,277,8
L,188,FRA,R,170,ZIM,22,12,6,6,false,false,70,0
R,188,ECU,L,193,USA,20,4,8,2,false,false,113,2
R,180,AUS,L,180,SWE,17,7,6,4,false,false,34,0
R,190,FRA,L,180,FRA,18,7,11,5,false,false,3,3
R,190,CZE,R,175,ESP,4,8,6,8,false,false,23,3
R,175,ZIM,R,188,USA,2,2,8,11,false,false,167,11
L,175,CHI,R,183,CHI,6,2,33,13,false,false,45,4
R,190,GER,L,188,GBR,18,2,12,3,false,false,48,1
R,188,USA,R,185,NED,16,17,2,4,false,false,62,3
R,190,SWE,L,180,ARG,53,31,6,5,false,false,13,5
R,185,USA,R,188,CZE,22,4,14,12,false,false,65,1
R,196,USA,R,170,BEL,43,20,3,12,false,false,8,2
R,183,ARG,R,188,ITA,11,4,8,11,false,false,27,5
R,188,CZE,R,183,ESP,9,9,4,2,false,false,119,2
R,188,GER,R,178,GBR,7,8,3,1,false,false,178,1
R,180,GER,R,183,CAN,15,4,10,4,false,false,58,3
R,180,KOR,L,180,USA,11,5,34,35,false,false,106,7
L,183,ARG,R,175,CRC,7,13,7,4,false,false,82,0
R,185,GBR,R,180,ESP,13,4,0,1,false,false,33,2
R,183,CHI,R,173,PHI,30,38,0,2,true,false,13,4
R,196,NED,R,168,BEL,25,5,3,6,false,false,87,9
R,185,BRA,R,185,SUI,7,9,3,9,false,false,65,2
R,183,SVK,L,193,CRO,28,14,33,19,false,false,41,6
R,185,MAR,R,193,MAR,10,9,13,4,false,false,11,1
R,201,GER,R,185,CZE,12,5,33,19,false,false,4,1
R,190,RUS,R,185,BUL,36,27,16,15,false,false,110,2
R,193,RUS,R,188,FRA,35,12,4,5,false,false,134,9
L,180,ITA,R,188,NOR,15,7,8,8,false,false,93,7
L,175,AUT,R,190,ARG,23,12,9,2,false,false,11,3
R,175,FRA,R,180,USA,2,2,3,6,false,false,129,0
L,190,CAN,R,178,FRA,14,5,27,11,false,false,276,0
R,185,SUI,R,196,NED,31,14,15,4,false,false,49,3
R,188,ARG,R,173,USA,6,4,12,17,false,false,85,6
R,183,ESP,L,180,BRA,8,6,3,6,false,false,110,9
R,183,GER,R,183,ITA,13,9,16,11,false,false,89,4
R,183,SWE,R,188,CZE,16,5,5,11,false,false,29,3
R,193,NED,R,183,GER,10,7,2,5,false,false,145,1
R,185,ROU,R,178,AUT,19,5,7,1,false,false,15,4
R,196,BLR,R,188,SVK,7,4,24,21,false,false,15,3
R,180,ESP,R,188,USA,18,3,14,5,false,false,314,8
R,190,FRA,R,183,HUN,15,7,5,5,false,false,32,1
R,188,SWE,R,178,USA,12,4,10,11,false,false,75,0
R,180,ESP,R,185,THA,9,2,14,13,false,false,77,5
R,201,SUI,L,183,GER,53,43,5,4,false,false,91,5
R,183,CZE,L,183,ESP,2,4,3,7,false,false,4,1
R,190,ESP,R,185,SWE,8,6,7,6,false,false,6,4
R,198,USA,R,183,USA,9,7,2,6,false,false,87,4
R,175,USA,R,185,ISR,16,11,6,8,false,false,43,6
L,193,GBR,R,185,SWE,44,16,3,12,false,false,18,7
R,188,FRA,R,180,ARM,47,30,11,10,false,false,61,4
R,196,AUS,R,188,ESP,14,10,10,10,false,false,55,3
R,190,USA,R,188,USA,54,14,10,1,false,false,321,5
R,180,SWE,R,193,CRO,14,2,18,3,false,false,4,4
R,173,ESP,R,185,AUS,18,5,24,5,false,false,94,4
R,185,BEL,R,185,GER,12,9,5,14,false,false,100,7
R,196,AUS,R,183,SUI,15,6,5,7,false,false,10,5
R,185,AUS,L,183,NED,44,14,17,18,false,false,59,0
L,190,AUS,R,190,BRA,36,11,6,3,false,false,100,6
R,173,FRA,R,180,USA,25,13,19,12,false,false,36,8
L,175,MAR,R,185,RSA,29,14,24,11,false,false,20,2
R,183,ROU,R,185,FRA,17,15,15,9,false,false,28,5
L,188,FRA,R,188,ECU,32,17,39,9,false,false,32,2
R,180,AUS,R,190,FRA,28,11,36,15,false,false,92,7
R,190,CZE,R,175,ZIM,12,15,6,7,false,false,10,5
L,175,CHI,R,190,GER,14,7,34,10,false,false,107,1
R,190,SWE,R,188,USA,68,37,21,22,false,false,60,1
R,185,USA,R,196,USA,34,10,51,26,false,false,84,6
R,183,ARG,R,188,CZE,22,9,14,14,false,false,140,3
R,180,GER,R,188,GER,24,10,13,12,false,false,29,2
R,180,KOR,L,183,ARG,17,8,12,24,false,false,169,1
R,185,GBR,R,183,CHI,22,8,31,48,false,false,117,5
R,196,NED,R,185,BRA,39,9,10,13,false,false,63,5
R,183,SVK,R,185,MAR,36,15,16,14,false,false,3,5
R,190,RUS,R,201,GER,44,39,32,23,false,false,77,3
R,193,RUS,L,180,ITA,46,15,23,11,false,false,42,15
R,175,FRA,L,175,AUT,9,3,24,20,false,false,17,1
R,185,SUI,L,190,CAN,46,15,21,9,false,false,267,8
R,183,ESP,R,188,ARG,17,16,18,12,false,false,84,8
R,183,GER,R,183,SWE,20,12,18,9,false,false,39,5
R,193,NED,R,185,ROU,24,9,25,10,false,false,32,3
R,196,BLR,R,180,ESP,27,6,22,10,false,false,33,2
R,188,SWE,R,190,FRA,17,9,24,11,false,false,134,1
R,180,ESP,R,201,SUI,23,3,69,51,false,false,22,3
R,190,ESP,R,183,CZE,13,10,3,9,false,false,5,6
R,198,USA,R,175,USA,15,9,29,13,false,false,7,2
R,188,FRA,L,193,GBR,59,42,56,28,false,false,24,5
R,190,USA,R,196,AUS,71,19,30,20,false,false,12,0
R,180,SWE,R,173,ESP,28,5,27,12,false,false,23,2
R,196,AUS,R,185,BEL,29,11,20,12,false,false,75,10
L,190,AUS,R,185,AUS,54,20,50,16,false,false,27,1
R,173,FRA,L,175,MAR,47,14,36,20,false,false,4,4
R,183,ROU,L,188,FRA,27,18,33,20,false,false,13,0
R,180,AUS,R,190,CZE,35,13,14,18,false,false,30,6
R,190,SWE,L,175,CHI,77,40,32,23,false,false,14,2
R,185,USA,R,183,ARG,52,15,39,12,false,false,68,6
R,180,KOR,R,180,GER,22,13,28,11,false,false,115,0
R,196,NED,R,185,GBR,63,16,26,25,false,false,12,3
R,183,SVK,R,190,RUS,48,19,50,46,false,false,30,4
R,193,RUS,R,175,FRA,71,19,19,6,false,false,21,2
R,183,ESP,R,185,SUI,21,26,60,22,false,false,28,1
R,183,GER,R,193,NED,25,13,35,15,false,false,44,0
R,188,SWE,R,196,BLR,22,10,52,12,false,false,54,1
R,190,ESP,R,180,ESP,21,15,31,8,false,false,47,2
R,198,USA,R,188,FRA,32,10,65,44,false,false,22,1
R,180,SWE,R,190,USA,40,11,97,28,false,false,64,2
L,190,AUS,R,196,AUS,76,28,44,16,false,false,18,1
R,173,FRA,R,183,ROU,52,15,34,21,false,false,2,4
R,180,AUS,R,190,SWE,44,15,81,43,false,false,4,7
R,185,USA,R,180,KOR,67,18,25,16,false,false,178,5
R,196,NED,R,183,SVK,78,20,57,24,false,false,13,6
R,193,RUS,R,183,ESP,85,21,23,33,false,false,5,0
R,183,GER,R,188,SWE,35,16,29,18,false,false,11,1
R,198,USA,R,190,ESP,56,13,29,28,false,false,23,6
R,180,SWE,L,190,AUS,44,16,103,35,false,false,11,4
R,180,AUS,R,173,FRA,62,18,55,17,false,false,28,3
R,185,USA,R,196,NED,75,23,99,24,false,false,19,1
R,193,RUS,R,183,GER,101,22,48,23,false,false,7,3
R,198,USA,R,180,SWE,74,14,67,19,false,false,59,5
R,185,USA,R,180,AUS,93,31,85,23,false,false,5,10
R,193,RUS,R,198,USA,115,25,81,21,false,false,25,10
R,193,RUS,R,185,USA,127,27,101,35,false,false,3,9
R,193,RUS,R,?,RUS,138,30,9,3,false,false,690,8
R,188,USA,R,185,FIN,30,27,10,9,false,false,62,2
R,180,GER,R,185,ISR,33,13,8,11,false,false,2,2
R,185,GER,L,180,ITA,12,19,30,13,false,false,2,8
R,178,RUS,R,201,SUI,12,15,87,58,false,false,88,6
R,183,SWE,R,188,ESP,20,9,16,14,false,false,1,2
R,190,USA,R,190,CZE,0,1,17,18,false,false,713,4
R,193,NED,L,193,CRO,43,19,42,22,false,false,97,5
R,183,ARG,R,196,BLR,26,10,58,14,false,false,23,1
R,180,BLR,R,185,SWE,5,2,8,14,false,false,9,11
R,180,SWE,R,175,ESP,74,20,9,11,false,false,26,3
R,183,SVK,R,183,CHI,67,27,44,17,false,false,53,1
R,188,GER,R,180,ESP,28,13,1,3,false,false,30,1
R,190,ESP,L,175,AUT,1,1,25,24,false,false,5,4
R,188,NOR,R,180,RUS,13,13,1,4,false,false,55,2
R,190,RUS,R,188,CZE,58,50,11,15,false,false,75,1
R,193,RUS,R,188,USA,148,32,33,32,false,false,80,7
R,180,GER,R,185,GER,35,15,15,21,false,false,14,3
R,183,SWE,R,178,RUS,26,10,16,17,false,false,69,5
R,190,USA,R,193,NED,5,7,47,27,false,false,734,5
R,180,BLR,R,183,ARG,10,5,36,13,false,false,7,0
R,183,SVK,R,180,SWE,74,27,82,25,false,false,33,3
R,190,ESP,R,188,GER,7,4,29,14,false,false,14,5
R,190,RUS,R,188,NOR,64,53,21,15,false,false,152,2
R,193,RUS,R,180,GER,155,32,43,17,false,false,54,4
R,183,SWE,R,190,USA,28,11,9,9,false,false,712,1
R,183,SVK,R,180,BLR,77,32,21,12,false,false,34,0
